NO_ID,UTC,Temperature[C],Humidity[%],TVOC[ppb],eCO2[ppm],Raw H2,Raw Ethanol,Pressure[hPa],PM1.0,PM2.5,NC0.5,NC1.0,NC2.5,CNT,fire_alarm
6.0,1654733337.0,20.088,53.61,0.0,400.0,12432.0,19058.0,939.738,0.0,0.0,0.0,0.0,0.0,6.0,0
16.0,1654733347.0,20.233,50.86,0.0,400.0,12480.0,19382.0,939.758,0.6,2.52,0.0,2.908,1.851,16.0,0
26.0,1654733357.0,20.377,49.58,0.0,404.0,12503.0,19525.0,939.771,0.2,0.82,0.0,0.949,0.604,26.0,0
36.0,1654733367.0,20.519,53.5,0.0,410.0,12491.0,19541.0,939.755,0.08,0.29,0.07,0.336,0.201,36.0,0
46.0,1654733377.0,20.659,55.99,9.0,406.0,12505.0,19582.0,939.754,0.02,0.08,0.02,0.092,0.055,46.0,0
56.0,1654733387.0,20.798,56.64,0.0,400.0,12532.0,19626.0,939.721,0.01,0.02,0.01,0.026,0.015,56.0,0
66.0,1654733397.0,20.935,51.66,18.0,413.0,12530.0,19635.0,939.762,0.13,0.47,0.04,0.541,0.33,66.0,0
76.0,1654733407.0,21.07,49.88,19.0,400.0,12528.0,19620.0,939.777,0.04,0.16,0.01,0.187,0.114,76.0,0
86.0,1654733417.0,21.204,49.29,45.0,453.0,12516.0,19609.0,939.784,0.01,0.05,0.0,0.059,0.036,86.0,0
96.0,1654733427.0,21.336,53.96,33.0,421.0,12524.0,19614.0,939.801,0.2,0.63,0.36,0.718,0.409,96.0,0
106.0,1654733437.0,21.466,55.9,9.0,401.0,12543.0,19631.0,939.792,0.06,0.18,0.1,0.202,0.115,106.0,0
116.0,1654733447.0,21.595,56.65,0.0,400.0,12565.0,19673.0,939.807,0.02,0.05,0.03,0.06,0.034,116.0,0
126.0,1654733457.0,21.722,51.72,10.0,415.0,12557.0,19654.0,939.802,0.0,0.01,0.01,0.016,0.009,126.0,0
136.0,1654733467.0,21.847,49.93,6.0,420.0,12566.0,19662.0,939.791,0.0,0.0,0.0,0.005,0.003,136.0,0
146.0,1654733477.0,21.971,49.32,39.0,455.0,12541.0,19629.0,939.817,0.0,0.0,0.0,0.001,0.001,146.0,0
156.0,1654733487.0,22.093,54.05,26.0,431.0,12556.0,19638.0,939.811,0.01,0.02,0.02,0.022,0.011,156.0,0
166.0,1654733497.0,22.214,56.02,14.0,403.0,12566.0,19656.0,939.812,0.0,0.0,0.0,0.0,0.0,166.0,0
176.0,1654733507.0,22.333,56.77,0.0,400.0,12597.0,19694.0,939.815,0.0,0.0,0.0,0.0,0.0,176.0,0
186.0,1654733517.0,22.45,50.65,1.0,401.0,12598.0,19680.0,939.798,0.0,0.0,0.0,0.0,0.0,186.0,0
196.0,1654733527.0,22.566,49.57,0.0,402.0,12596.0,19684.0,939.803,0.69,1.57,2.64,1.765,0.844,196.0,0
206.0,1654733537.0,22.68,52.7,28.0,424.0,12582.0,19650.0,939.804,0.32,0.72,1.21,0.809,0.387,206.0,0
216.0,1654733547.0,22.793,55.84,10.0,400.0,12602.0,19683.0,939.791,0.11,0.22,0.46,0.24,0.106,216.0,0
226.0,1654733557.0,22.904,56.85,10.0,400.0,12608.0,19674.0,939.79,0.06,0.11,0.28,0.121,0.049,226.0,0
236.0,1654733567.0,23.013,52.15,3.0,400.0,12630.0,19712.0,939.804,0.05,0.08,0.24,0.092,0.034,236.0,0
246.0,1654733577.0,23.121,50.19,12.0,400.0,12629.0,19689.0,939.808,0.1,0.18,0.49,0.203,0.08,246.0,0
256.0,1654733587.0,23.227,49.97,37.0,400.0,12613.0,19678.0,939.817,0.09,0.16,0.45,0.176,0.067,256.0,0
266.0,1654733597.0,23.332,54.71,12.0,400.0,12631.0,19698.0,939.807,0.11,0.2,0.59,0.214,0.077,266.0,0
276.0,1654733607.0,23.435,56.37,5.0,400.0,12641.0,19699.0,939.799,0.17,0.27,0.9,0.294,0.098,276.0,0
286.0,1654733617.0,23.537,55.64,0.0,400.0,12665.0,19728.0,939.779,0.22,0.33,1.23,0.356,0.106,286.0,0
296.0,1654733627.0,23.637,51.16,13.0,400.0,12662.0,19718.0,939.785,0.11,0.17,0.62,0.18,0.054,296.0,0
306.0,1654733637.0,23.735,49.74,9.0,400.0,12672.0,19729.0,939.794,0.06,0.09,0.33,0.093,0.026,306.0,0
316.0,1654733647.0,23.832,52.39,31.0,400.0,12661.0,19703.0,939.779,0.05,0.08,0.32,0.086,0.024,316.0,0
326.0,1654733657.0,23.928,55.5,21.0,400.0,12667.0,19707.0,939.784,0.06,0.09,0.37,0.099,0.026,326.0,0
336.0,1654733667.0,24.021,56.76,6.0,400.0,12678.0,19710.0,939.808,0.09,0.13,0.56,0.141,0.035,336.0,0
346.0,1654733677.0,24.114,53.43,11.0,400.0,12698.0,19738.0,939.81,0.07,0.1,0.43,0.107,0.026,346.0,0
356.0,1654733687.0,24.205,50.58,12.0,400.0,12698.0,19740.0,939.818,0.08,0.11,0.49,0.117,0.026,356.0,0
366.0,1654733697.0,24.294,49.62,7.0,400.0,12709.0,19746.0,939.796,0.07,0.09,0.41,0.095,0.021,366.0,0
376.0,1654733707.0,24.382,53.64,22.0,400.0,12694.0,19728.0,939.82,0.03,0.04,0.17,0.039,0.008,376.0,0
386.0,1654733717.0,24.468,55.98,23.0,400.0,12698.0,19737.0,939.843,0.05,0.07,0.31,0.071,0.015,386.0,0
396.0,1654733727.0,24.553,56.97,15.0,400.0,12709.0,19734.0,939.842,0.11,0.15,0.71,0.16,0.033,396.0,0
406.0,1654733737.0,24.637,52.55,8.0,400.0,12729.0,19759.0,939.836,0.23,0.29,1.43,0.303,0.054,406.0,0
416.0,1654733747.0,24.719,50.37,3.0,400.0,12734.0,19758.0,939.833,0.27,0.33,1.7,0.354,0.061,416.0,0
426.0,1654733757.0,24.799,49.53,10.0,400.0,12738.0,19755.0,939.838,0.19,0.24,1.22,0.252,0.042,426.0,0
436.0,1654733767.0,24.878,53.68,14.0,400.0,12723.0,19740.0,939.834,0.11,0.14,0.72,0.147,0.024,436.0,0
446.0,1654733777.0,24.956,56.0,11.0,400.0,12741.0,19757.0,939.83,0.1,0.12,0.64,0.129,0.02,446.0,0
456.0,1654733787.0,25.032,57.0,7.0,400.0,12743.0,19752.0,939.841,0.28,0.33,1.8,0.343,0.045,456.0,0
466.0,1654733797.0,25.106,52.26,6.0,400.0,12764.0,19784.0,939.829,0.2,0.23,1.29,0.242,0.03,466.0,0
476.0,1654733807.0,25.179,50.19,9.0,400.0,12772.0,19786.0,939.834,0.11,0.13,0.71,0.132,0.016,476.0,0
486.0,1654733817.0,25.251,50.26,37.0,400.0,12757.0,19752.0,939.841,0.25,0.26,1.72,0.268,0.006,486.0,0
496.0,1654733827.0,25.321,54.76,19.0,400.0,12779.0,19779.0,939.815,0.25,0.26,1.7,0.265,0.006,496.0,0
506.0,1654733837.0,25.39,56.56,18.0,400.0,12782.0,19771.0,939.845,0.27,0.3,1.81,0.315,0.026,506.0,0
516.0,1654733847.0,25.457,56.51,0.0,400.0,12813.0,19817.0,939.827,0.38,0.42,2.54,0.435,0.033,516.0,0
526.0,1654733857.0,25.523,51.83,15.0,400.0,12807.0,19798.0,939.852,0.21,0.22,1.46,0.228,0.005,526.0,0
536.0,1654733867.0,25.588,50.23,14.0,400.0,12814.0,19808.0,939.821,0.14,0.15,0.92,0.158,0.012,536.0,0
