NO_ID,UTC,Temperature[C],Humidity[%],TVOC[ppb],eCO2[ppm],Raw H2,Raw Ethanol,Pressure[hPa],PM1.0,PM2.5,NC0.5,NC1.0,NC2.5,CNT,fire_alarm
26803.0,1654763152.0,16.47,53.68,67.0,400.0,13113.0,19991.0,939.649,0.73,0.76,5.01,0.782,0.018,1809.0,0
26813.0,1654763162.0,16.28,54.69,58.0,400.0,13114.0,19990.0,939.646,0.84,0.88,5.8,0.904,0.02,1819.0,0
26823.0,1654763172.0,18.33,52.42,29.0,400.0,13139.0,20026.0,939.627,0.68,0.7,4.65,0.726,0.016,1829.0,0
26833.0,1654763182.0,18.86,48.84,46.0,400.0,13122.0,19995.0,939.614,0.71,0.74,4.89,0.763,0.017,1839.0,0
26843.0,1654763192.0,19.12,47.72,59.0,400.0,13125.0,20000.0,939.595,0.56,0.58,3.83,0.597,0.013,1849.0,0
26853.0,1654763202.0,17.11,49.81,79.0,400.0,13103.0,19970.0,939.599,0.72,0.75,4.99,0.778,0.018,1859.0,0
26863.0,1654763212.0,16.65,53.13,76.0,400.0,13113.0,19969.0,939.589,0.93,0.97,6.42,1.002,0.023,1869.0,0
26873.0,1654763222.0,16.48,54.13,84.0,400.0,13109.0,19974.0,939.623,0.94,0.97,6.45,1.006,0.023,1879.0,0
26883.0,1654763232.0,18.5,51.83,44.0,400.0,13129.0,20006.0,939.619,0.76,0.79,5.21,0.813,0.018,1889.0,0
26893.0,1654763242.0,19.0,48.27,71.0,400.0,13123.0,19983.0,939.641,0.64,0.66,4.37,0.682,0.015,1899.0,0
26903.0,1654763252.0,19.26,47.42,65.0,400.0,13126.0,19988.0,939.616,0.6,0.62,4.11,0.64,0.014,1909.0,0
26913.0,1654763262.0,17.26,49.52,84.0,400.0,13105.0,19965.0,939.598,0.63,0.65,4.31,0.672,0.015,1919.0,0
26923.0,1654763272.0,16.8,52.75,79.0,400.0,13109.0,19976.0,939.625,0.55,0.57,3.78,0.589,0.013,1929.0,0
26933.0,1654763282.0,16.61,53.87,71.0,400.0,13120.0,19980.0,939.618,0.69,0.71,4.72,0.736,0.017,1939.0,0
26943.0,1654763292.0,18.65,51.8,43.0,400.0,13138.0,20015.0,939.6,0.6,0.62,4.12,0.642,0.014,1949.0,0
26953.0,1654763302.0,19.2,48.28,54.0,400.0,13130.0,19996.0,939.562,0.8,0.83,5.48,0.855,0.019,1959.0,0
26963.0,1654763312.0,19.47,47.18,56.0,400.0,13125.0,20004.0,939.578,0.85,0.88,5.83,0.909,0.021,1969.0,0
26973.0,1654763322.0,17.32,49.87,82.0,400.0,13099.0,19970.0,939.614,0.79,0.82,5.41,0.843,0.019,1979.0,0
26983.0,1654763332.0,16.92,52.73,73.0,400.0,13112.0,19972.0,939.623,0.68,0.71,4.67,0.729,0.016,1989.0,0
26993.0,1654763342.0,16.75,53.7,78.0,400.0,13116.0,19983.0,939.619,0.61,0.63,4.2,0.656,0.015,1999.0,0
27003.0,1654763352.0,18.86,50.91,42.0,400.0,13135.0,20005.0,939.618,0.7,0.73,4.84,0.755,0.017,2009.0,0
27013.0,1654763362.0,19.37,48.0,42.0,400.0,13143.0,20021.0,939.63,0.73,0.76,5.01,0.781,0.018,2019.0,0
27023.0,1654763372.0,19.6,47.12,42.0,400.0,13131.0,20008.0,939.621,0.9,0.93,6.19,0.965,0.022,2029.0,0
27033.0,1654763382.0,17.41,50.46,62.0,400.0,13117.0,19992.0,939.639,0.9,0.93,6.18,0.963,0.022,2039.0,0
27043.0,1654763392.0,17.03,53.08,40.0,400.0,13129.0,20005.0,939.631,0.73,0.76,5.05,0.787,0.018,2049.0,0
27053.0,1654763402.0,16.91,53.92,40.0,400.0,13131.0,20017.0,939.648,0.59,0.61,4.03,0.629,0.014,2059.0,0
27063.0,1654763412.0,19.18,50.03,2.0,400.0,13162.0,20052.0,939.651,0.8,0.83,5.5,0.857,0.019,2069.0,0
27073.0,1654763422.0,19.57,47.94,2.0,400.0,13163.0,20061.0,939.63,0.87,0.91,6.0,0.936,0.021,2079.0,0
27083.0,1654763432.0,19.77,47.23,3.0,400.0,13160.0,20067.0,939.62,0.94,0.98,6.47,1.009,0.023,2089.0,0
